task_id,task_text,category,priority,status,due_date,cleaned_text,tokens,token_no_stopwords,stemmed_tokens,text_length,due_days_left,urgency_flag,priority_binary,assigned_to,predicted_priority
139,Add dark mode,Feature,High,Done,2025-07-05,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,13,0,1,Bob,1
140,Build notification system,Feature,High,To Do,2025-07-07,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,15,0,1,Charlie,0
141,Integrate chat module,Feature,High,In Progress,2025-07-02,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,10,0,1,Diana,1
142,Integrate chat module,Feature,Low,In Progress,2025-06-24,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,2,1,0,Charlie,0
143,Build notification system,Feature,High,To Do,2025-07-11,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,19,0,1,Charlie,0
144,Build notification system,Feature,Medium,Done,2025-06-25,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,3,0,0,Bob,0
145,Integrate chat module,Feature,Low,Done,2025-07-11,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,19,0,0,Diana,0
146,Build notification system,Feature,Low,In Progress,2025-06-27,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,5,0,0,Charlie,0
148,Build notification system,Feature,Low,To Do,2025-07-06,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,14,0,0,Alice,0
150,Implement search filter,Feature,Low,In Progress,2025-07-10,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,18,0,0,Diana,0
151,Implement search filter,Feature,High,Done,2025-06-30,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,8,0,1,Bob,1
153,Build notification system,Feature,Medium,In Progress,2025-06-26,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,4,0,0,Diana,0
155,Add dark mode,Feature,Low,In Progress,2025-07-08,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,16,0,0,Diana,0
157,Implement search filter,Feature,Medium,To Do,2025-06-30,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,8,0,0,Diana,0
160,Integrate chat module,Feature,Medium,In Progress,2025-07-05,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,13,0,0,Bob,0
161,Implement search filter,Feature,Low,In Progress,2025-07-10,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,18,0,0,Bob,0
163,Implement search filter,Feature,High,To Do,2025-07-06,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,14,0,1,Bob,0
164,Integrate chat module,Feature,Medium,Done,2025-07-09,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,17,0,0,Diana,0
165,Integrate chat module,Feature,Medium,Done,2025-07-11,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,19,0,0,Charlie,0
166,Implement search filter,Feature,Medium,Done,2025-06-23,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,1,1,0,Bob,0
168,Implement search filter,Feature,High,Done,2025-07-03,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,11,0,1,Charlie,1
169,Build notification system,Feature,Low,Done,2025-07-02,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,10,0,0,Bob,1
170,Add dark mode,Feature,Low,To Do,2025-07-11,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,19,0,0,Alice,0
172,Add dark mode,Feature,Low,In Progress,2025-06-22,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,0,1,0,Diana,0
173,Add dark mode,Feature,High,To Do,2025-06-24,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,2,1,1,Alice,1
175,Add dark mode,Feature,Low,To Do,2025-07-08,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,16,0,0,Charlie,0
176,Implement search filter,Feature,High,Done,2025-07-08,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,16,0,1,Diana,1
177,Implement search filter,Feature,Low,In Progress,2025-06-23,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,1,1,0,Bob,0
179,Build notification system,Feature,Low,To Do,2025-07-11,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,19,0,0,Bob,0
180,Add dark mode,Feature,Low,In Progress,2025-07-03,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,11,0,0,Charlie,0
182,Integrate chat module,Feature,Low,Done,2025-07-01,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,9,0,0,Diana,1
183,Integrate chat module,Feature,High,In Progress,2025-07-02,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,10,0,1,Diana,1
185,Integrate chat module,Feature,High,In Progress,2025-07-07,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,15,0,1,Alice,0
186,Build notification system,Feature,Low,In Progress,2025-06-30,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,8,0,0,Bob,0
188,Add dark mode,Feature,High,To Do,2025-07-08,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,16,0,1,Bob,0
189,Add dark mode,Feature,Low,In Progress,2025-07-11,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,19,0,0,Bob,0
191,Implement search filter,Feature,Low,Done,2025-07-01,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,9,0,0,Diana,1
192,Integrate chat module,Feature,High,Done,2025-07-01,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,9,0,1,Bob,1
193,Integrate chat module,Feature,Low,Done,2025-06-26,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,4,0,0,Diana,0
194,Implement search filter,Feature,Medium,To Do,2025-07-05,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,13,0,0,Diana,0
196,Build notification system,Feature,Low,In Progress,2025-06-28,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,6,0,0,Charlie,0
197,Implement search filter,Feature,Low,To Do,2025-06-23,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,1,1,0,Alice,0
198,Build notification system,Feature,High,Done,2025-06-30,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,8,0,1,Alice,1
199,Implement search filter,Feature,Medium,Done,2025-06-23,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,1,1,0,Bob,0
200,Build notification system,Feature,Medium,To Do,2025-06-22,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,0,1,0,Diana,0
201,Document new features,Documentation,Low,To Do,2025-07-05,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,13,0,0,Charlie,0
202,Document new features,Documentation,Medium,To Do,2025-07-02,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,10,0,0,Charlie,0
207,Update user manual,Documentation,High,To Do,2025-06-24,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,2,1,1,Alice,0
209,Update user manual,Documentation,High,Done,2025-07-04,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,12,0,1,Alice,1
211,Document new features,Documentation,Low,To Do,2025-06-24,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,2,1,0,Alice,0
212,Improve API docs,Documentation,Low,To Do,2025-06-27,improve api docs,"['improve', 'api', 'docs']","['improve', 'api', 'docs']","['improv', 'api', 'doc']",3,5,0,0,Charlie,0
213,Improve API docs,Documentation,Medium,In Progress,2025-06-25,improve api docs,"['improve', 'api', 'docs']","['improve', 'api', 'docs']","['improv', 'api', 'doc']",3,3,0,0,Alice,0
215,Update user manual,Documentation,Low,To Do,2025-07-08,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,16,0,0,Alice,0
217,Write README,Documentation,Low,Done,2025-07-07,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,15,0,0,Charlie,0
220,Document new features,Documentation,Medium,In Progress,2025-06-30,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,8,0,0,Diana,1
222,Write README,Documentation,High,To Do,2025-06-29,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,7,0,1,Diana,1
224,Write README,Documentation,Medium,In Progress,2025-07-02,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,10,0,0,Bob,1
228,Write README,Documentation,High,To Do,2025-06-29,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,7,0,1,Diana,1
230,Document new features,Documentation,Medium,In Progress,2025-06-29,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,7,0,0,Bob,1
231,Update user manual,Documentation,High,Done,2025-07-06,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,14,0,1,Bob,1
234,Document new features,Documentation,High,Done,2025-06-25,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,3,0,1,Alice,0
236,Update user manual,Documentation,High,In Progress,2025-06-30,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,8,0,1,Alice,1
238,Update user manual,Documentation,Low,To Do,2025-07-01,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,9,0,0,Diana,0
239,Improve API docs,Documentation,Low,To Do,2025-06-23,improve api docs,"['improve', 'api', 'docs']","['improve', 'api', 'docs']","['improv', 'api', 'doc']",3,1,1,0,Alice,0
240,Improve API docs,Documentation,High,In Progress,2025-07-06,improve api docs,"['improve', 'api', 'docs']","['improve', 'api', 'docs']","['improv', 'api', 'doc']",3,14,0,1,Charlie,1
